payload_entropy,topic_diversity,temporal_clustering_score,normal_emergency_ratio,inter_alert_interval_mean,freq_rolling_std_5w,inter_interval_variance,alert_rate_acceleration,label,attack_type
0.0,0.0,1.0,2174.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,0.0,0.0,0.0,1,normal
4.2895539691673275,2.0,1.238095238095238,102.52380952380952,0.2611275965347886,9.391485505499118,1.088171815003389,21.0,1,normal
4.3347732199597075,3.0,1.0,82.57692307692308,0.2143802785873413,12.992305415129373,0.8705748191080152,26.0,1,normal
4.452067597675397,3.0,1.0,54.717948717948715,0.5660808035417607,17.020575783445164,7.025669192113776,35.809999999999945,1,normal
4.452067597675397,3.0,1.0,54.717948717948715,0.5660808035417607,16.077935190813527,7.025669192113776,-5.0,1,normal
4.452067597675397,3.0,1.0,54.717948717948715,0.5660808035417607,8.67179335547152,7.025669192113776,-13.0,1,normal
4.452067597675397,3.0,1.0,54.717948717948715,0.5660808035417607,5.813776741499455,7.025669192113776,-39.0,1,normal
4.471065563077028,3.0,1.4444444444444444,119.72222222222224,0.956536916687208,9.391485505499116,14.658289260889124,-18.0,1,normal
4.3902460927232845,3.0,1.0,138.30769230769232,0.0281518682216604,12.99230541512937,6.946905201473116e-06,-13.0,1,normal
0.0,0.0,1.0,1449.0,0.0273930907926776,17.020575783445164,0.0,0.0,1,normal
0.0,0.0,1.0,1087.0,0.0273930907926776,16.077935190813527,0.0,0.0,1,normal
0.0,0.0,1.0,725.0,0.0273930907926776,8.67179335547152,0.0,0.0,1,normal
0.0,0.0,1.0,363.0,0.0273930907926776,5.813776741499453,0.0,0.0,1,normal
0.0,0.0,1.0,1.0,0.0273930907926776,0.0,0.0,0.0,1,normal
4.3435075219623815,1.0,1.0,26.923076923076923,0.0273930917804439,5.813776741499454,8.442320916420461e-17,-13.0,1,normal
4.3435075219623815,1.0,1.0,54.76923076923077,0.0273930917804439,7.12039324756716,8.442320916420461e-17,-13.0,1,normal
4.3435075219623815,1.0,1.0,82.61538461538461,0.0273930917804439,7.12039324756716,8.442320916420461e-17,-13.0,1,normal
4.3435075219623815,1.0,1.0,110.46153846153848,0.0273930917804439,5.813776741499454,8.442320916420461e-17,-13.0,1,normal
4.3435075219623815,1.0,1.0,138.30769230769232,0.0273930917804439,0.0,8.442320916420461e-17,-13.0,1,normal
4.3435075219623815,1.0,1.0,166.15384615384616,0.0273930917804439,0.0,8.442320916420461e-17,-13.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,5.813776741499454,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,7.12039324756716,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,7.12039324756716,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,5.813776741499454,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2173.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,0.0,0.0,0.0,1,normal
0.0,0.0,1.0,2174.0,0.0273930907926776,0.0,0.0,0.0,1,normal
